,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
500,Montsant Artesà Brut Nature,,7.7,4.3,Cava,DO Cava,11.5,Xarel·lo,,,
501,S' Naranja, ,13.95,4.8,Vino Naranja del Condado de Huelva,Condado de Huelva,15.0,Pedro ximénez,,,
502,D'Iatra Gratallops Vi de Vila, 2017,18.4,4.6,Vino tinto,Priorat,15.5,Cariñena,,,
503,Finca Antigua Moscatel, 2022 ,8.55,4.8,Vino dulce,La Mancha,13.0,Moscatel de grano menudo,,,
504,Akutain Crianza, 2018,14.9,0.0,Vino Tinto,Rioja,13.0,Tempranillo,,,
505,Manzanilla Pasada Pastrana,,16.6,4.3,Manzanilla,Jerez-Manzanilla,15.0,Palomino fino,,,
506,La Pantera Rosa, 2021,8.2,0.0,Vino rosado,Cebreros,13.0,Garnacha,92.0,,
507,L'Antana, 2013,14.9,5.0,Vino tinto,Penedès,14.5,Merlot,,,
508,Marqués de Cáceres Gran Reserva, 2016,19.9,4.4,Vino tinto,Rioja,14.5,Tempranillo,,92.0,94.0
509,Torremilanos Montecastrillo, 2022,9.15,5.0,Vino tinto,Ribera del Duero,13.5,Tempranillo,90.0,,
510,Martín Códax Lías, 2021,21.5,4.3,Vino blanco,Rías Baixas,13.0,Albariño,,93.0,
511,Altos de Torona Godello, 2022,11.5,3.9,Vino blanco,Rías Baixas,12.5,Godello,,,
512,Mauro Estévez, 2022,16.9,0.0,Vino blanco,Ribeiro,13.0,Treixadura,,91.0,
513,Lan Gran Reserva, 2016,19.95,4.5,Vino tinto,Rioja,14.0,Tempranillo,,92.0,93.0
514,Perplejo, 2022,9.5,4.7,Vino blanco,Rueda,12.5,Verdejo,,,
515,Anna de Codorniu Ice Edition,,9.95,4.2,Cava,DO Cava,11.5,Chardonnay,,,
516,Huguet Reserva Brut Clàssic, 2016,14.9,5.0,Cava,Corpinnat,12.5,Parellada,,,
517,Lustau Manzanilla Papirusa,,11.95,4.5,Manzanilla,Jerez-Manzanilla,15.0,Palomino fino,,,
518,Anais Xarel·lo, 2022,7.6,5.0,Vino blanco,Penedès,12.0,Xarel·lo,,,
519,Club Altanza Reserva, 2015,21.9,4.7,Vino tinto,Rioja,14.0,Tempranillo,91.0,93.0,93.0
520,Artadi El Carretil, 2014,185.0,4.8,Vino tinto,España,14.5,Tempranillo,,97.0,99.0
521,Clarete de Luna Rosado, 2022,6.2,4.1,Vino clarete,Cigales,13.0,Tempranillo,,,
522,Maruxa Godello, 2023,9.9,3.3,Vino blanco,Valdeorras,13.5,Godello,90.0,,
523,Herència Altés Garnatxa Blanca, 2022,8.95,4.5,Vino blanco,Terra Alta,13.0,Garnacha blanca,,,91.0
524,El Molar, 2021,18.45,4.1,Vino tinto,Jumilla,15.0,Garnacha,95.0,94.0,
525,Castro Candaz Finca El Curvado, 2019,17.5,4.3,Vino tinto,Ribeira Sacra,13.0,Mencía,92.0,,
526,Villa de Corullón, 2021,53.75,4.5,Vino tinto,Bierzo,14.0,Mencía,,94.0,95.0
527,Emilio Moro La Felisa, 2022,26.9,4.0,Vino tinto,Ribera del Duero,13.5,Tempranillo,,,
528,Ximénez-Spínola Exceptional Harvest, 2022,19.7,4.7,Vino blanco,Jerez-Manzanilla,12.5,Pedro ximénez,,,
529,Atalier Albariño, 2022,15.9,4.0,Vino blanco,Rías Baixas,13.0,Albariño,94.0,,
530,Valdespino Manzanilla Deliciosa en Rama - Saca de Primavera, ,9.95,4.9,Manzanilla,Jerez-Manzanilla,15.0,Palomino fino,,,
531,El Grifo Lías, 2021,22.0,5.0,Vino blanco,Lanzarote,13.0,Malvasía,,,
532,Enrique Mendoza Pinot Noir, 2022,9.95,4.1,Vino tinto,Alicante,14.0,Pinot noir,,,
533,Fillaboa, 2022,16.5,4.3,Vino blanco,Rías Baixas,12.5,Albariño,,90.0,
534,Celeste Crianza, 2020,21.95,4.7,Vino tinto,Ribera del Duero,14.0,Tempranillo,,90.0,92.0
