Encabezados,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
156,Viña Zorzal Malayeto, 2021,"14,40 €","3,9",Vino tinto,Navarra,"14,0%",Garnacha,94 PK,94 PN,NA
157,La Niña de Mis Ojos, 2022,No se encontró el elemento price,"4,3",Vino blanco,Rioja,"12,0%",Sauvignon blanc,NA,NA,NA
158,Protos Crianza, 2019,"17,50 €","4,4",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,93 PN,91 SK
159,4 Monos GR10, 2021,No se encontró el elemento price,"3,6",Vino tinto,Vinos de Madrid,"13,5%",Garnacha,93 PK,NA,NA
160,LZ, 2022,No se encontró el elemento price,"4,1",Vino tinto,Rioja,"14,0%",Tempranillo,92 PK,NA,92 SK
161,Montecastro, 2020,"20,50 €","4,3",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,92 PK,NA,NA
162,Els Cirerets, 2020,No se encontró el elemento price,"5,0",Vino tinto,Priorat,"15,5%",Garnacha,94+ PK,94 PN,NA
163,Bozeto de Exopto, 2022,No se encontró el elemento price,"4,1",Vino tinto,Rioja,"14,5%",Garnacha,92 PK,NA,92 SK
164,Merum Priorati Inici, 2021,"26,90 €","4,6",Vino tinto,Priorat,"15,0%",Garnacha,NA,90 PN,NA
165,Gago, 2019,No se encontró el elemento price,"3,9",Vino tinto,Toro,"14,0%",Tinta de Toro,92+ PK,92 PN,NA
166,Ramón Bilbao Reserva, 2016,No se encontró el elemento price,"4,6",Vino tinto,Rioja,"14,0%",Tempranillo,91+ PK,92 PN,NA
167,Cune Reserva, 2019,"11,25 €","4,5",Vino tinto,Rioja,"14,0%",Tempranillo,90+ PK,NA,93 SK
168,Bermejo Malvasía Seco, 2022,No se encontró el elemento price,"4,8",Vino blanco,Lanzarote,"13,0%",Malvasía,NA,NA,NA
169,Coto de Hayas Garnacha Centenaria, 2021,No se encontró el elemento price,"4,5",Vino tinto,Campo de Borja,"14,5%",Garnacha,90 PK,90 PN,NA
170,Protos Verdejo, 2022,No se encontró el elemento price,"4,4",Vino blanco,Rueda,"13,0%",Verdejo,NA,90 PN,92 SK
171,Belondrade y Lurton, 2022,"45,90 €","4,9",Vino blanco,Rueda,"14,0%",Verdejo,95 PK,97 PN,NA
172,Cunqueiro III Milenium, 2022,No se encontró el elemento price,"4,3",Vino blanco,Ribeiro,"12,5%",Treixadura,NA,NA,NA
173,Rafael Cambra Soplo, 2021,No se encontró el elemento price,"4,0",Vino tinto,Valencia,"13,0%",Garnacha,91 PK,NA,92 SK
174,Alonso del Yerro, 2019,No se encontró el elemento price,"4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,93 PK,93 PN,91 SK
175,Sembro, 2022,No se encontró el elemento price,"4,4",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
176,Luberri Maceración Carbónica, 2022,No se encontró el elemento price,"4,5",Vino de maceración carbónica,Rioja,"14,0%",Tempranillo,NA,90 PN,NA
177,Lalama, 2020,No se encontró el elemento price,"4,4",Vino tinto,Ribeira Sacra,"13,0%",Mencía,93+ PK,94 PN,NA
178,Godelia Godello, 2022,No se encontró el elemento price,"4,3",Vino blanco,Bierzo,"13,5%",Godello,NA,NA,90 SK
179,3404 Tinto Joven, 2022,No se encontró el elemento price,"4,2",Vino tinto,Somontano,"13,5%",Cabernet sauvignon,NA,NA,90 SK
180,Lustau Palo Cortado Península,,No se encontró el elemento price,"4,8",Palo cortado,Jerez-Manzanilla,"19,0%",Palomino fino,NA,NA,NA
181,Viña Real Crianza, 2020,"8,45 €","4,1",Vino tinto,Rioja,"13,5%",Tempranillo,91 PK,91 PN,93 SK
182,Acústic, 2020,No se encontró el elemento price,"4,3",Vino tinto,Montsant,"14,0%",Samsó,90 PK,92 PN,NA
183,El Sequé, 2021,"25,95 €","4,6",Vino tinto,Alicante,"14,5%",Monastrell,93+ PK,NA,93 SK
184,Viña Pomal Crianza, 2020,No se encontró el elemento price,"3,8",Vino tinto,Rioja,"14,5%",Tempranillo,90 PK,NA,NA
185,Familia Oliveda Brut Rosat,,"6,40 €","4,7",Cava,DO Cava,"11,5%",Garnacha,NA,NA,NA
186,Pasos de San Martín, 2019,"18,50 €","4,1",Vino tinto,Navarra,"14,5%",Garnacha,93 PK,95 PN,95 SK
187,Casar de Burbia Mencía, 2019,No se encontró el elemento price,"4,0",Vino tinto,Bierzo,"14,5%",Mencía,90 PK,90 PN,91 SK
188,Finca Dofí, 2021,"95,90 €","4,7",Vino tinto,Priorat,"14,5%",Garnacha,96-98 PK,96 PN,95 SK
189,Pazo Cilleiro, 2022,"9,50 €","4,8",Vino blanco,Rías Baixas,"13,0%",Albariño,NA,NA,NA
190,Dominio de Tares Cepas Viejas, 2018,"16,40 €","4,1",Vino tinto,Bierzo,"14,5%",Mencía,90 PK,91 PN,NA
191,Marqués de Vargas Reserva, 2018,No se encontró el elemento price,"4,5",Vino tinto,Rioja,"14,0%",Tempranillo,92 PK,92 PN,91 SK
192,Viña Pedrosa Crianza, 2020,No se encontró el elemento price,"3,8",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,92 PK,NA,NA
193,Viñas Elías Mora, 2021,No se encontró el elemento price,"4,2",Vino tinto,Toro,"14,5%",Tinta de Toro,90 PK,91 PN,NA
194,Vizcarra Senda del Oro, 2022,No se encontró el elemento price,"4,2",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,90 PK,90 PN,NA
195,PradoRey Origen Roble, 2022,No se encontró el elemento price,"4,1",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,90 PN,NA
